Theta, Alpha, Low_beta, High_beta, Gamma
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0201403,0.0177738,0.0240872,0.0181674,0.00719232,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0207989,0.0166802,0.0242942,0.0183299,0.00674133,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0202645,0.0141242,0.0220218,0.0165644,0.00620857,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0181434,0.010803,0.017974,0.0134583,0.00552241,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.0151993,0.0083554,0.0138266,0.0103971,0.00488739,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.012552,0.00805779,0.0110143,0.00872959,0.00465727,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0113648,0.0105788,0.0101896,0.00945886,0.00499787,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0122853,0.0151226,0.0115559,0.0123477,0.00583631,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0150134,0.0201961,0.0140262,0.0162808,0.00686166,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0186017,0.0245662,0.016377,0.0197177,0.00765189,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0215904,0.0265131,0.0175539,0.0212614,0.00784711,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0226631,0.0255731,0.0169784,0.020402,0.0073766,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0215105,0.0221005,0.0148744,0.0173711,0.00637926,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0185006,0.0171028,0.0116295,0.013108,0.00521234,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0143701,0.0121233,0.00819145,0.00896021,0.00424315,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.0106243,0.00847411,0.0053927,0.00589518,0.00372404,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00813214,0.00682262,0.00374424,0.00442275,0.00368778,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00700859,0.006755,0.00329715,0.00431742,0.00398838,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00682472,0.00759372,0.00363542,0.00494234,0.00439732,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00693083,0.00828467,0.00412139,0.00556958,0.0047548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00691148,0.00837247,0.00446291,0.00595089,0.00492548,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00656762,0.00770434,0.0043531,0.00584104,0.00493737,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00594663,0.00652217,0.00394915,0.00545741,0.00483233,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
0.00523766,0.0053377,0.0036968,0.00503109,0.00500066,
